File Extension,Ransomware,Present in other programs,Program type
Cukiesi,Unidentified,N,
Heropoint,Unidentified,N,
daaefc,Unidentified,N,
rhino,Unidentified,N,
Cry36,Unidentified,N,
SadComputer,Unidentified,N,
cnc,Unidentified,Y,CNCgeneralprogramdata
CryptoMix,Unidentified,N,
Prodecryptor,Unidentified,N,
Salsa,Unidentified,N,
cnh,Unidentified,N,
nuclear55,Nuke,N,
dwmapi,Unidentified,N,
Drop,Unidentified,N,
vfcfocxph,Unidentified,N,
burn,Unidentified,N,
Crypto,Unidentified,N,
GoGoogle,Unidentified,N,
promos,Unidentified,N,
Tor+,Unidentified,N,
INFOWAIT,Unidentified,N,
FCT,Unidentified,N,
promoz,Unidentified,N,
ntuseg,Unidentified,N,
peet,Unidentified,N,
Blackout,Unidentified,N,
8lock8,Unidentified,N,
ecure,Unidentified,N,
CryPy,Unidentified,N,
bbawasted,Unidentified,N,
monro,Unidentified,N,
mafee,Unidentified,N,
damoclis,Unidentified,N,
Alix1011RVA,Unidentified,N,
eight,Unidentified,N,
octopus,Unidentified,N,
ribd,Unidentified,N,
combo13,Unidentified,N,
pykw,Unidentified,N,
haters,Unidentified,N,
LockfilesKR,Unidentified,N,
FuckedByGhost,Unidentified,N,
GetCrypt,Unidentified,N,
pays,Jigsaw,N,
restoreserver,Unidentified,N,
r5a,Globe,N,
JDPR,Unidentified,N,
bonsoir,Unidentified,N,
son,Unidentified,Y,Song(SBStudioII)
Encryptor RaaS,Unidentified,N,
0x0,Unidentified,N,
EG83,Unidentified,N,
IEncrypt,Unidentified,N,
mamba,Unidentified,N,
wrar,Unidentified,N,
Venis,Unidentified,N,
decryptional,Unidentified,N,
wal,Unidentified,Y,WinampSkinfile
needkeys,Unidentified,N,
kryptonite,Unidentified,N,
support,Unidentified,N,
fuchsia,Unidentified,N,
COCKROACH,Unidentified,N,
WINDOWS,Unidentified,N,
VindowsLocker,Unidentified,N,
payB,Unidentified,N,
war,Unidentified,Y,JavaWebArchive(usedbyServlets)
clman,Unidentified,N,
happy,Unidentified,N,
sanction,Unidentified,N,
azero,Unidentified,N,
fuckunicornhtrhrtjrj,Unidentified,N,
MegaLocker,Unidentified,N,
iaufkakfhsaraf,Unidentified,N,
SLAV,Unidentified,N,
Dablio,Unidentified,N,
charcl,Unidentified,N,
budak,Unidentified,N,
CockBlocker,Unidentified,N,
sdwwbrb,Unidentified,N,
zoro,Unidentified,N,
SLAM,Unidentified,N,
CORP,Unidentified,N,
u'[KASISKI]*,Unidentified,N,
trun,Unidentified,N,
ITTZN,Unidentified,N,
TaRoNiS,Unidentified,N,
bmtf,Unidentified,N,
uDz2j8mv,Unidentified,N,
litar,Unidentified,N,
SaveTheQueenING,Unidentified,N,
iqy,Unidentified,N,
FilGZmsp,Unidentified,N,
(*dungeon*-0_0),Unidentified,N,
qwex,Unidentified,N,
ovgm,Unidentified,N,
happyness,Unidentified,N,
GEnc,Unidentified,N,
pr0Lock,Unidentified,N,
NEFILIM,Unidentified,N,
sapphire,Unidentified,N,
gesd,Unidentified,N,
iiss,Unidentified,N,
vscrypt,Unidentified,N,
kroput,Unidentified,N,
axx,Dharma,Y,axxessfilesusedasbackupsofInter-Teldatabases
WannaSpam,Unidentified,N,
mails,Unidentified,N,
g\u043eod,Unidentified,N,
Gerber,Unidentified,N,
scarab,Unidentified,N,
ddos,Unidentified,N,
id[*-2275,Unidentified,N,
trix,Unidentified,N,
Mkos,Unidentified,N,
crjoker,Merry,N,
Nutella,Unidentified,N,
encrpt3d,Unidentified,N,
CyberSoldiersST,Unidentified,N,
mole,AxCrypt,N,
shit,HiddenTear/MafiaWare,N,
ktuhzxpi,Unidentified,N,
easyransom,Unidentified,N,
encrypt,Alpha,N,
mwahah*,Unidentified,N,
Ipcrestore,Unidentified,N,
Globeimposter-Alpha865qqz,Unidentified,N,
easy2lock,Unidentified,N,
NEWRAR,Unidentified,N,
*locked,Unidentified,N,
actor,Unidentified,N,
jzphmsfs,Unidentified,N,
LockTaiwan,Unidentified,N,
Help50,Unidentified,N,
rams1,Unidentified,N,
UmbreCrypt,Unidentified,N,
test,Unidentified,Y,TestFileExtension
jenkins,Unidentified,N,
Everbe*,Unidentified,N,
yourransom,Unidentified,N,
fmoon,Unidentified,N,
Ukash,Unidentified,N,
*kb15,Unidentified,N,
NullByte,Unidentified,N,
phoenix,Unidentified,N,
g8R4rqWIp9,Unidentified,N,
Rentyr,Unidentified,N,
xiaoba12,Unidentified,N,
fuXcF,Unidentified,N,
ECLR*,Unidentified,N,
devon,Unidentified,N,
NOT_OPEN,Unidentified,N,
zzzzzzzz,Unidentified,N,
WCRYT,Unidentified,N,
SecureCrypted,Vindows,N,
C0rp0r@c@0Xr@,Unidentified,N,
potato,Shade,N,
Lawvuhqjr,Unidentified,N,
nochance,Unidentified,N,
IFN643,Unidentified,N,
arrepiante,Unidentified,N,
swagkarna,Unidentified,N,
cxkdata,Unidentified,N,
zc3791,Unidentified,N,
spyhunter,Unidentified,N,
badutclowns,Unidentified,N,
AZER,Unidentified,N,
MNS,Unidentified,N,
REvil,Unidentified,N,
cryptowin,Unidentified,N,
FDFK22,Unidentified,N,
rsucozxze,Unidentified,N,
u'*ENCx45cR*,Unidentified,N,
WKSGJ,Unidentified,N,
windows10,PadCrypt,N,
CryptoViki,Unidentified,N,
datun,Unidentified,N,
osk,Unidentified,N,
crypttt,Unidentified,N,
BKRansomware,Unidentified,N,
bomber,Unidentified,N,
Sifrelendi,Unidentified,N,
xiaoba14,Unidentified,N,
CRYPTED000007,Unidentified,N,
katipuneros,Unidentified,N,
#,Unidentified,N,
CROWN,Unidentified,N,
SuperB,Unidentified,N,
0,Unidentified,N,
granny,Unidentified,N,
badday,Unidentified,N,
CTB-Locker,Unidentified,N,
telebak,Unidentified,N,
UCCU,Unidentified,N,
GusCrypter,Unidentified,N,
decodeme666tutanota_com,Unidentified,N,
yakuza,Unidentified,N,
coos,Unidentified,N,
AngleWare,DummyLocker,N,
dCrypt,ZYKLON,N,
coot,Unidentified,N,
hannah,Unidentified,N,
maxicrypt,Unidentified,N,
IQ_IQ,Unidentified,N,
RANDOM,Unidentified,N,
DoNotChange,Unidentified,N,
z8sj2c,Unidentified,N,
